pricedSecurityName,PartitionKey,AsOfDate,FxHedgingPercent,EnrichmentStatus,InputModel,OutputModel,EnrichmentInputId,EnrichmentInputIdType,EnrichmentMessages,RMG_SecurityIsProxied,SecurityUpdateTimestamp,IsFxModel
ccy://RMG/AGTE,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AGTE""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CLP,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/AK5,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MGA,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/GBPUSD,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GBPUSD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/HUFUSD,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HUFUSD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SKK,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/RUB,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BYN,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_MXN1,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_MXN1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/LKR,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/SEK4,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SEK4""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_IDR1,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_IDR1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ROSA,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ROSA""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CNH4,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CNH4""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/RSD,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCAGA,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCAGA""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CFRF,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CFRF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BWP,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/NCD,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NCD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/DRP1,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DRP1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BNB1,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BNB1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XOPUSD,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/XOPUSD"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""XOPUSD"" is backfilled or forward filled; earliest time series observation date is 20200617; latest time series observation date is 20221124; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCJOD,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCJOD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NTD1,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NTD1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/OMR3,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""OMR3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CAD1,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CAD1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MNT2,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MNT2""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AUAN2,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AUAN2""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ZWL,17,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_LKR1,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_LKR1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_JPY1,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_JPY1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/QR_TRY,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""QR_TRY""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SOL3,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SOL3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MGA_TCXF,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MGA_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/EUR5,17,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EUR5""",false,2024-11-20T10:55:10.539884,false
(102457:2583)-327,17,2024-09-02,NaN,Success,equityModel,equityModel,N/A,N/A,,false,2024-11-20T10:55:23.209277,false
(102457:2583)-309,17,2024-09-02,NaN,Success,equityModel,equityModel,N/A,N/A,,false,2024-11-20T10:55:23.209277,false
(102457:2583)-282,17,2024-09-02,NaN,Success,equityModel,equityModel,N/A,N/A,,false,2024-11-20T10:55:23.209277,false
ccy://RMG/SSL1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SSL1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/MVR,15,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,false
ccy://RMG/CDF,15,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,false
ccy://RMG/AUD5,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AUD5""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/KES_SL,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""KES_SL""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/BOCAU1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCAU1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/MWK_TCXF,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MWK_TCXF""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/NGN_SL,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NGN_SL""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/AK14,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK14""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/DKK5,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DKK5""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/BOCSZL,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCSZL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCJMD,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCJMD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BGN,15,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/VND1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""VND1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MZN_TCXF,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MZN_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XRP3,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XRP3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/PEN_SL,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""PEN_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CAD3,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CAD3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XA1N_UAT,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XA1N_UAT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XAU5,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XAU5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/DXY,15,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_NLG1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_NLG1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NAD_TCXF,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NAD_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCHRK,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCHRK""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AK7,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK7""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AMP1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AMP1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SEK_SL,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SEK_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/GBP_SL,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GBP_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AED1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AED1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/QR_INR,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""QR_INR""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/YFI1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""YFI1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ILS1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ILS1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/EGP3,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EGP3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CZK1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CZK1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCMWK,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCMWK""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/HUF_SL,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HUF_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/HTG_TCXF,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HTG_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ZART,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ZART""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_HKD1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_HKD1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/LSL,15,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/MZN,15,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCRON,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCRON""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SPE1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SPE1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CDEM,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CDEM""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NLG,15,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/ALG1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ALG1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/HKD,15,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/ARS3,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ARS3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SGD1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SGD1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/PHP1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""PHP1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCUYU,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCUYU""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCKZT,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCKZT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ATS1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ATS1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCTWD,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCTWD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCCHF,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCCHF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AZN_TCXF,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AZN_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XA2N,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XA2N""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/THH5,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""THH5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MTL_SL,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MTL_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCKHR,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCKHR""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XPT1,15,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XPT1""",false,2024-11-20T10:55:10.539884,false
(102457:2583)-329,15,2024-09-02,NaN,Success,equityModel,equityModel,N/A,N/A,,false,2024-11-20T10:55:23.209277,false
(102457:2583)-284,15,2024-09-02,NaN,Error,equityModel,equityModel,N/A,N/A,"Unknown equity time series named ""10918L103""",false,2024-11-20T10:55:23.209277,false
(102457:2583)-310,15,2024-09-02,NaN,Success,equityModel,equityModel,N/A,N/A,,false,2024-11-20T10:55:23.209277,false
ccy://RMG/BCC_ESP1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_ESP1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/BOCNOK,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCNOK""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/KZT1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""KZT1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/ILS,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,false
ccy://RMG/ABC2,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ABC2""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/BCC_NOK1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_NOK1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/CHF1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CHF1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/SAR_SL,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SAR_SL""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/NIO_TCXF,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NIO_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BBD_SL,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BBD_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XS3,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XS3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/LNK1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""LNK1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MYR2,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MYR2""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BND,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/HKD5,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HKD5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MAD_SL,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MAD_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NOK_LCH,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NOK_LCH""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCLBP,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCLBP""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XA1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XA1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AUDCurncy,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AUDCurncy""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/PTA1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""PTA1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/KMF,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCSYP,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCSYP""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XPT,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_THB1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_THB1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AED,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCTHB,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCTHB""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AK20,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK20""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/FXEUR,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""FXEUR""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/FIL1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""FIL1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/FJD,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/TWD1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""TWD1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCSDG,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCSDG""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/IEP,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/SLE_TCXF,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SLE_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ATS,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/NZDCurncy,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NZDCurncy""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_FRF1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_FRF1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/PHP,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/LUN1,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""LUN1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ZAR3,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ZAR3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/TTD_TCXF,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""TTD_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/UAH,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/PTX,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/XBTUSD,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/XBTUSD"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""XBTUSD"" is backfilled or forward filled; earliest time series observation date is 20100719; latest time series observation date is 20221124; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CLNT.TPGA.DXY,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CLNT.TPGA.DXY""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NZD4,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NZD4""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BRLT,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BRLT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCKYD,8,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCKYD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SGD,8,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
